rank,company,vision,talent,business_areas,notes
1,삼성물산,,,"건축, 토목, 플랜트, 주택, 기술혁신, 지속가능경영, 품질경영, 사회공헌",
2,현대건설,"창의적인 생각과 열정으로 보다 나은 세상을 건설하고, 끊임없는 혁신과 도전으로 더 나은 미래를 열어갑니다.",,"도로·교량, 터널·철도, 해양·항만, 건축·개발, 산업시설, 복합개발·호텔, 주택, 전력·설비, 대형원전, 오일 · 가스 정유 · 석유화학, 산업 플랜트, 송전선·변전소, 원전해체·SMR, 신재생에너지",
3,대우건설,"비전/경영이념/핵심가치 요약: 대우건설은 지속 가능한 경영을 통해 안전한 건설기술과 AI, 스마트 건설을 확보하며, 글로벌 에너지 시장 공략을 위해 일본 LNG EPC 강자들과 협력하고 있습니다.",인재상/채용 관련 핵심가치 요약: 없음,"주요 사업영역 요약: 토목, 플랜트, 건축, 주택 개발","출처 텍스트가 부족하거나 확인 필요한 점: 회사 소개 페이지의 내용이 출처에서 잘 확인되지 않아 비전, 인재상 등에 대한 정보가 부족합니다."
4,DL이앤씨,,,,공식 페이지 텍스트를 충분히 수집하지 못함.
5,GS건설,,,,공식 페이지 텍스트를 충분히 수집하지 못함.
6,현대엔지니어링,,,,공식 페이지 텍스트를 충분히 수집하지 못함.
7,포스코이앤씨,,,,출처 텍스트가 부족하거나 확인 필요한 점
8,롯데건설,,비전과 창의적인 행동을 중요시하는 인재를 모집합니다.,"주요 사업영역은 건설, 도시정비, 분양 등으로 확장되고 있으며, 친환경 녹색기술도 주력하고 있습니다.",출처 텍스트가 부족하거나 확인 필요한 점
9,SK에코플랜트,"환경·에너지 문제 해결과 지속 가능한 미래 구축을 목표로, '2040 Net Zero' 달성 및 순환경제 구축에 중점을 두고 있습니다.",,"반도체 생산 인프라 구축, AI DC 시장에서의 맞춤 인프라 설계, 반도체 필수 소재 개발 및 생산",
10,HDC현대산업개발,,,"개발, 주택, 건축, 토목, 플랜트, 해외 사업",
11,한화,시대의 걸작을 만들어 내기 위해 모든 열정과 정성을 다하고 있습니다.,,"해외 신도시 건설, 주택사업, 인프라 건설, 복합개발",
12,호반건설,,,,공식 페이지 텍스트를 충분히 수집하지 못함.
13,DL건설,,,,공식 페이지 텍스트를 충분히 수집하지 못함.
14,두산에너빌리티,,,"신에너지 솔루션, 가스터빈, 바이오매스, 풍력발전, 태양광, 수소 에너지, 디지털 전환",
15,계룡건설산업,"4차 산업혁명 시대에 선진기술을 도입하고 우수 인재를 보유하여 지속적인 사업영역 확장을 통해 초일류기업으로 도약하며, 지역 주민과 함께하는 사회공헌 활동을 실시합니다.","능력있고 패기있는 인재들의 지원을 기다리며, 인간중심의 경영을 최우선으로 합니다.","건축, 토목, 주택, 플랜트 등 지속적인 사업영역 확장을 통해 건설 부문의 혁신을 이어갑니다.",
16,서희건설,,,,공식 페이지 텍스트를 충분히 수집하지 못함.
17,제일건설,,,,공식 페이지 텍스트를 충분히 수집하지 못함.
18,코오롱글로벌,,,,공식 페이지 텍스트를 충분히 수집하지 못함.
19,태영건설,"창의적 열정과 지속적인 도전정신을 바탕으로 고객의 미래 가치를 창조하고, 보다 나은 주거환경과 사회 인프라를 제공하는 것을 목표로 합니다.",,"토목 건설, 주택사업(데시앙 브랜드), 관급공사, 환경 및 에너지 플랜트, 해외 물 시장",
20,KCC건설,,,,공식 페이지 텍스트를 충분히 수집하지 못함.
21,금호건설,,,,공식 페이지 텍스트를 충분히 수집하지 못함.
22,한신공영,"최첨단 시스템과 시공을 통해 세계 속에 우뚝 선 한신, 세계속으로 명성을 이어가고 있습니다.","옳은 생각, 올곧은 신념으로 최고품질의 자부심, 일류건설회사의 명성을 지켜갑니다.","주택사업, 건축사업, 토목사업, 전기/플랜트 사업, 해외사업",
23,신세계건설,"고객 중심의 혁신기업으로 성장하며, 사회적 책임을 다하는 기업이 되는 것을 비전으로 합니다.",,"주거, 쇼핑, 레저 분야의 건축 사업을 수행합니다.",
24,동부건설,,,,공식 페이지 텍스트를 충분히 수집하지 못함.
25,쌍용건설,,,"해외 및 국내 건설 프로젝트, 고급 주택, 상업 복합건물, 인프라 구축 등",
26,HL디앤아이한라,,,"플랜트/환경사업, 주거 분야 아파트 건설",
27,동원개발,VISION Challenge & Achievements Trust based Management DongWon Development,,"주택사업, 도급시공, 건축事业, 土木工程, 建设工程",
28,대방건설,,,"주택사업, 건축事业, 土木工程, 其他业务",出處文本信息不足或需要确认的部分：缺少明确的愿景、使命和人才理念描述。
29,중흥토건,,훌륭한 인재의 중요성,"주택사업, 건축사업, 토목사업, 도시정비사업, 도시개발사업, 기타개발사업, 스포츠·레저사업",
30,아이에스동서,"친환경 건설의 미래를 선도하고, 사람과 자연, 환경의 가치를 소중히 생각하며 ESG 경영을 실천합니다.",,"친환경 도시개발 및 재건축 사업, 건설폐기물 처리, 폐차량 해체 재활용, 환경에너지 솔루션 제공",
